	annotatorLabels	genre	goldLabels	pairID	promptID	sentence1	sentence1BinaryParse	sentence1Parse	sentence2	sentence2BinaryParse	sentence2Parse	tokenizedSentence1	gongLabelSentence1	tokenizedSentence2	gongLabelSentence2
523	contradiction	telephone	contradiction	87901c	87901	never once	( never once )	(ROOT (FRAG (ADVP (RB never)) (ADVP (RB once))))	All the time. 	( ( All ( the time ) ) . )	(ROOT (NP (NP (DT All)) (NP (DT the) (NN time)) (. .)))	['<s>', 'never', 'Ġonce', '</s>']	[0 0 0 0]	['<s>', 'All', 'Ġthe', 'Ġtime', '.', 'Ġ', '</s>']	[0 0 0 0 0 0 0]
524	contradiction	telephone	contradiction	37116c	37116	uh all around Dallas there are a lot of recycling centers where you can take things sometimes for money um but most of those are real far away from	( ( ( uh all ) ( around ( Dallas ( there ( are ( ( a lot ) ( of ( recycling centers ) ) ) ) ) ) ) ) ( where ( ( ( you ( can ( ( ( take things ) sometimes ) ( for ( money um ) ) ) ) ) but ) ( ( most ( of those ) ) ( ( are ( real ( far away ) ) ) from ) ) ) ) )	(ROOT (S (VP (VB uh) (NP (DT all)) (PP (IN around) (NP (NP (NNP Dallas)) (SBAR (S (NP (EX there)) (VP (VBP are) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (VBG recycling) (NNS centers))))))))) (SBAR (WHADVP (WRB where)) (S (S (NP (PRP you)) (VP (MD can) (VP (VB take) (NP (NNS things)) (ADVP (RB sometimes)) (PP (IN for) (NP (NN money) (NN um)))))) (CC but) (S (NP (NP (JJS most)) (PP (IN of) (NP (DT those)))) (VP (VBP are) (ADVP (RB real) (RB far) (RB away)) (PP (IN from)))))))))	Dallas does not have a single recycling center.	( Dallas ( ( ( does not ) ( have ( a ( single ( recycling center ) ) ) ) ) . ) )	(ROOT (S (NP (NNP Dallas)) (VP (VBZ does) (RB not) (VP (VB have) (NP (DT a) (JJ single) (NN recycling) (NN center)))) (. .)))	['<s>', 'uh', 'Ġall', 'Ġaround', 'ĠDallas', 'Ġthere', 'Ġare', 'Ġa', 'Ġlot', 'Ġof', 'Ġrecycling', 'Ġcenters', 'Ġwhere', 'Ġyou', 'Ġcan', 'Ġtake', 'Ġthings', 'Ġsometimes', 'Ġfor', 'Ġmoney', 'Ġum', 'Ġbut', 'Ġmost', 'Ġof', 'Ġthose', 'Ġare', 'Ġreal', 'Ġfar', 'Ġaway', 'Ġfrom', '</s>']	[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]	['<s>', 'Dallas', 'Ġdoes', 'Ġnot', 'Ġhave', 'Ġa', 'Ġsingle', 'Ġrecycling', 'Ġcenter', '.', '</s>']	[0 0 0 0 1 0 0 0 0 0 0]
525	contradiction	travel	contradiction	146096c	146096	The Los Angeles Zoo in Griffith Park always makes a good outing for all age groups.	( ( ( The ( Los ( Angeles Zoo ) ) ) ( in ( Griffith Park ) ) ) ( always ( ( makes ( ( a ( good outing ) ) ( for ( all ( age groups ) ) ) ) ) . ) ) )	(ROOT (S (NP (NP (DT The) (NNP Los) (NNP Angeles) (NNP Zoo)) (PP (IN in) (NP (NNP Griffith) (NNP Park)))) (ADVP (RB always)) (VP (VBZ makes) (NP (NP (DT a) (JJ good) (NN outing)) (PP (IN for) (NP (DT all) (NN age) (NNS groups))))) (. .)))	The Los Angeles zoo is located in West Hollywood.	( ( The ( Los ( Angeles zoo ) ) ) ( ( is ( located ( in ( West Hollywood ) ) ) ) . ) )	(ROOT (S (NP (DT The) (NNP Los) (NNP Angeles) (NN zoo)) (VP (VBZ is) (VP (VBN located) (PP (IN in) (NP (NNP West) (NNP Hollywood))))) (. .)))	['<s>', 'The', 'ĠLos', 'ĠAngeles', 'ĠZoo', 'Ġin', 'ĠGriffith', 'ĠPark', 'Ġalways', 'Ġmakes', 'Ġa', 'Ġgood', 'Ġouting', 'Ġfor', 'Ġall', 'Ġage', 'Ġgroups', '.', '</s>']	[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	['<s>', 'The', 'ĠLos', 'ĠAngeles', 'Ġzoo', 'Ġis', 'Ġlocated', 'Ġin', 'ĠWest', 'ĠHollywood', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0]
526	contradiction	fiction	contradiction	88726c	88726	I beg your pardon, Miss Tuppence.	( I ( ( beg ( ( ( your pardon ) , ) ( Miss Tuppence ) ) ) . ) )	(ROOT (S (NP (PRP I)) (VP (VB beg) (NP (NP (PRP$ your) (NN pardon)) (, ,) (NP (NNP Miss) (NNP Tuppence)))) (. .)))	Nobody speaks to Miss Tuppence.	( Nobody ( ( speaks ( to ( Miss Tuppence ) ) ) . ) )	(ROOT (S (NP (NN Nobody)) (VP (VBZ speaks) (PP (TO to) (NP (NNP Miss) (NNP Tuppence)))) (. .)))	['<s>', 'I', 'Ġbeg', 'Ġyour', 'Ġpardon', ',', 'ĠMiss', 'ĠT', 'upp', 'ence', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0]	['<s>', 'Nobody', 'Ġspeaks', 'Ġto', 'ĠMiss', 'ĠT', 'upp', 'ence', '.', '</s>']	[0 0 0 1 0 0 0 0 0 0]
527	contradiction	travel	contradiction	11821c	11821	Visitors should be wary of incoming tides, which can move very fast.	( Visitors ( ( should ( be ( wary ( of ( ( ( incoming tides ) , ) ( which ( can ( move ( very fast ) ) ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (NNS Visitors)) (VP (MD should) (VP (VB be) (ADJP (JJ wary) (PP (IN of) (NP (NP (JJ incoming) (NNS tides)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (MD can) (VP (VB move) (ADVP (RB very) (RB fast))))))))))) (. .)))	Visitors should not worry about the incoming tides that always move slowly.	( Visitors ( ( ( should not ) ( worry ( about ( ( the ( incoming tides ) ) ( that ( always ( move slowly ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (NNS Visitors)) (VP (MD should) (RB not) (VP (VB worry) (PP (IN about) (NP (NP (DT the) (JJ incoming) (NNS tides)) (SBAR (WHNP (WDT that)) (S (ADVP (RB always)) (VP (VBP move) (ADVP (RB slowly))))))))) (. .)))	['<s>', 'Vis', 'itors', 'Ġshould', 'Ġbe', 'Ġwary', 'Ġof', 'Ġincoming', 'Ġtides', ',', 'Ġwhich', 'Ġcan', 'Ġmove', 'Ġvery', 'Ġfast', '.', '</s>']	[0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0]	['<s>', 'Vis', 'itors', 'Ġshould', 'Ġnot', 'Ġworry', 'Ġabout', 'Ġthe', 'Ġincoming', 'Ġtides', 'Ġthat', 'Ġalways', 'Ġmove', 'Ġslowly', '.', '</s>']	[0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0]
528	contradiction	fiction	contradiction	108679c	108679	"Never!"" Mr. Carter shook his head."	( ( Never ! ) ( '' ( ( Mr. Carter ) ( ( shook ( his head ) ) . ) ) ) )	(ROOT (S (FRAG (ADVP (RB Never) (. !))) ('' '') (NP (NNP Mr.) (NNP Carter)) (VP (VBD shook) (NP (PRP$ his) (NN head))) (. .)))	Mr. Carter nodded.	( ( Mr. Carter ) ( nodded . ) )	(ROOT (S (NP (NNP Mr.) (NNP Carter)) (VP (VBD nodded)) (. .)))	"['<s>', 'Never', '!""', 'ĠMr', '.', 'ĠCarter', 'Ġshook', 'Ġhis', 'Ġhead', '.', '</s>']"	[0 0 0 0 0 0 0 0 0 0 0]	['<s>', 'Mr', '.', 'ĠCarter', 'Ġnodded', '.', '</s>']	[0 0 0 0 0 0 0]
529	contradiction	telephone	contradiction	45628c	45628	instruct professors from other schools but	( ( instruct professors ) ( from ( ( other schools ) but ) ) )	(ROOT (S (VP (VB instruct) (NP (NNS professors)) (PP (IN from) (NP (NP (JJ other) (NNS schools)) (ADVP (CC but)))))))	Don't teach your professor.	( ( ( Do n't ) ( teach ( your professor ) ) ) . )	(ROOT (S (VP (VB Do) (RB n't) (VP (VB teach) (NP (PRP$ your) (NN professor)))) (. .)))	['<s>', 'in', 'struct', 'Ġprofessors', 'Ġfrom', 'Ġother', 'Ġschools', 'Ġbut', '</s>']	[0 0 0 0 1 0 0 0 0]	"['<s>', 'Don', ""'t"", 'Ġteach', 'Ġyour', 'Ġprofessor', '.', '</s>']"	[0 0 0 0 0 0 0 0]
530	contradiction	travel	contradiction	110880c	110880	Abdul Razak had earlier played a key role in combating the Communist insurrection years earlier.	( ( Abdul Razak ) ( ( ( had earlier ) ( ( played ( a ( key role ) ) ) ( in ( ( combating ( the ( Communist ( insurrection years ) ) ) ) earlier ) ) ) ) . ) )	(ROOT (S (NP (NNP Abdul) (NNP Razak)) (VP (VBD had) (ADVP (RBR earlier)) (VP (VBN played) (NP (DT a) (JJ key) (NN role)) (PP (IN in) (S (VP (VBG combating) (NP (DT the) (JJ Communist) (NN insurrection) (NNS years)) (ADVP (RBR earlier))))))) (. .)))	Abdul Razak was conspicuously absent from the opposition to the Communist insurgency.	( ( Abdul Razak ) ( ( ( was ( conspicuously ( absent ( from ( the opposition ) ) ) ) ) ( to ( the ( Communist insurgency ) ) ) ) . ) )	(ROOT (S (NP (NNP Abdul) (NNP Razak)) (VP (VBD was) (ADJP (RB conspicuously) (JJ absent) (PP (IN from) (NP (DT the) (NN opposition)))) (PP (TO to) (NP (DT the) (JJ Communist) (NN insurgency)))) (. .)))	['<s>', 'Ab', 'd', 'ul', 'ĠRaz', 'ak', 'Ġhad', 'Ġearlier', 'Ġplayed', 'Ġa', 'Ġkey', 'Ġrole', 'Ġin', 'Ġcombating', 'Ġthe', 'ĠCommunist', 'Ġinsurrection', 'Ġyears', 'Ġearlier', '.', '</s>']	[0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0]	['<s>', 'Ab', 'd', 'ul', 'ĠRaz', 'ak', 'Ġwas', 'Ġconspic', 'uously', 'Ġabsent', 'Ġfrom', 'Ġthe', 'Ġopposition', 'Ġto', 'Ġthe', 'ĠCommunist', 'Ġinsurgency', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0]
531	contradiction	slate	contradiction	33589c	33589	At the other extreme, if we discover that Bill Gates murdered Vince Foster, or a similar megascoop, journalistic bravado will easily triumph over corporate loyalty.	( ( At ( the ( other extreme ) ) ) ( , ( ( if ( we ( discover ( that ( ( Bill Gates ) ( murdered ( ( ( ( Vince Foster ) , ) or ) ( a ( similar megascoop ) ) ) ) ) ) ) ) ) ( , ( ( journalistic bravado ) ( ( ( will easily ) ( triumph ( over ( corporate loyalty ) ) ) ) . ) ) ) ) ) )	(ROOT (S (PP (IN At) (NP (DT the) (JJ other) (NN extreme))) (, ,) (SBAR (IN if) (S (NP (PRP we)) (VP (VBP discover) (SBAR (IN that) (S (NP (NNP Bill) (NNP Gates)) (VP (VBN murdered) (NP (NP (NNP Vince) (NNP Foster)) (, ,) (CC or) (NP (DT a) (JJ similar) (NN megascoop))))))))) (, ,) (NP (JJ journalistic) (NN bravado)) (VP (MD will) (ADVP (RB easily)) (VP (VB triumph) (PP (IN over) (NP (JJ corporate) (NN loyalty))))) (. .)))	We often refuse to publish scandalous stories for fear of attracting a lawsuit.	( We ( often ( ( refuse ( to ( ( publish ( scandalous stories ) ) ( for ( fear ( of ( attracting ( a lawsuit ) ) ) ) ) ) ) ) . ) ) )	(ROOT (S (NP (PRP We)) (ADVP (RB often)) (VP (VBP refuse) (S (VP (TO to) (VP (VB publish) (NP (JJ scandalous) (NNS stories)) (PP (IN for) (NP (NP (NN fear)) (PP (IN of) (S (VP (VBG attracting) (NP (DT a) (NN lawsuit))))))))))) (. .)))	['<s>', 'At', 'Ġthe', 'Ġother', 'Ġextreme', ',', 'Ġif', 'Ġwe', 'Ġdiscover', 'Ġthat', 'ĠBill', 'ĠGates', 'Ġmurdered', 'ĠVince', 'ĠFoster', ',', 'Ġor', 'Ġa', 'Ġsimilar', 'Ġmeg', 'as', 'co', 'op', ',', 'Ġjournalistic', 'Ġbrav', 'ado', 'Ġwill', 'Ġeasily', 'Ġtriumph', 'Ġover', 'Ġcorporate', 'Ġloyalty', '.', '</s>']	[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0]	['<s>', 'We', 'Ġoften', 'Ġrefuse', 'Ġto', 'Ġpublish', 'Ġscandal', 'ous', 'Ġstories', 'Ġfor', 'Ġfear', 'Ġof', 'Ġattracting', 'Ġa', 'Ġlawsuit', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
532	contradiction	government	contradiction	17740c	17740	The study found that effective design review practices result in less rework on the part of the construction contractor, fewer change orders to correct design errors and omissions, and lowering the cost of belatedly adding project upgrade features that should have been addressed in the original design.	( ( ( ( ( ( The study ) ( found ( that ( ( effective ( design ( review practices ) ) ) ( ( result ( in ( ( less rework ) ( on ( ( the part ) ( of ( ( ( the ( construction contractor ) ) , ) ( fewer ( change orders ) ) ) ) ) ) ) ) ) ( to ( correct ( design ( ( errors and ) omissions ) ) ) ) ) ) ) ) ) , ) and ) ( lowering ( ( the cost ) ( of ( belatedly ( adding ( ( project ( upgrade features ) ) ( that ( should ( have ( been ( addressed ( in ( the ( original design ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) . )	(ROOT (S (S (NP (DT The) (NN study)) (VP (VBD found) (SBAR (IN that) (S (NP (JJ effective) (NN design) (NN review) (NNS practices)) (VP (VBP result) (PP (IN in) (NP (NP (JJR less) (NN rework)) (PP (IN on) (NP (NP (DT the) (NN part)) (PP (IN of) (NP (NP (DT the) (NN construction) (NN contractor)) (, ,) (NP (JJR fewer) (NN change) (NNS orders)))))))) (S (VP (TO to) (VP (VB correct) (NP (NN design) (NNS errors) (CC and) (NNS omissions)))))))))) (, ,) (CC and) (S (VP (VBG lowering) (NP (NP (DT the) (NN cost)) (PP (IN of) (S (ADVP (RB belatedly)) (VP (VBG adding) (NP (NP (NN project) (NN upgrade) (NNS features)) (SBAR (WHNP (WDT that)) (S (VP (MD should) (VP (VB have) (VP (VBN been) (VP (VBN addressed) (PP (IN in) (NP (DT the) (JJ original) (NN design)))))))))))))))) (. .)))	Construction contractors often have to do more reworks regardless of the effectiveness of the design review process.	( ( Construction contractors ) ( often ( ( have ( to ( ( do ( more reworks ) ) ( regardless ( of ( ( the effectiveness ) ( of ( the ( design ( review process ) ) ) ) ) ) ) ) ) ) . ) ) )	(ROOT (S (NP (NN Construction) (NNS contractors)) (ADVP (RB often)) (VP (VBP have) (S (VP (TO to) (VP (VB do) (NP (JJR more) (NNS reworks)) (ADVP (RB regardless) (PP (IN of) (NP (NP (DT the) (NN effectiveness)) (PP (IN of) (NP (DT the) (NN design) (NN review) (NN process)))))))))) (. .)))	['<s>', 'The', 'Ġstudy', 'Ġfound', 'Ġthat', 'Ġeffective', 'Ġdesign', 'Ġreview', 'Ġpractices', 'Ġresult', 'Ġin', 'Ġless', 'Ġre', 'work', 'Ġon', 'Ġthe', 'Ġpart', 'Ġof', 'Ġthe', 'Ġconstruction', 'Ġcontractor', ',', 'Ġfewer', 'Ġchange', 'Ġorders', 'Ġto', 'Ġcorrect', 'Ġdesign', 'Ġerrors', 'Ġand', 'Ġo', 'missions', ',', 'Ġand', 'Ġlowering', 'Ġthe', 'Ġcost', 'Ġof', 'Ġbel', 'ated', 'ly', 'Ġadding', 'Ġproject', 'Ġupgrade', 'Ġfeatures', 'Ġthat', 'Ġshould', 'Ġhave', 'Ġbeen', 'Ġaddressed', 'Ġin', 'Ġthe', 'Ġoriginal', 'Ġdesign', '.', '</s>']	"[0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0]"	['<s>', 'Construction', 'Ġcontractors', 'Ġoften', 'Ġhave', 'Ġto', 'Ġdo', 'Ġmore', 'Ġre', 'works', 'Ġregardless', 'Ġof', 'Ġthe', 'Ġeffectiveness', 'Ġof', 'Ġthe', 'Ġdesign', 'Ġreview', 'Ġprocess', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
533	contradiction	slate	contradiction	53621c	53621	Three--count 'em--online weather stores, including the WeatherStore, hawk meteorological gizmos.	( Three ( ( -- ( ( count 'em ) -- ) ) ( ( ( ( ( online ( weather stores ) ) , ) ( including ( the WeatherStore ) ) ) , ) ( ( hawk ( meteorological gizmos ) ) . ) ) ) )	(ROOT (S (NP (NNP Three)) (PRN (: --) (S (VP (VB count) (NP (PRP 'em)))) (: --)) (NP (NP (JJ online) (NN weather) (NNS stores)) (, ,) (PP (VBG including) (NP (DT the) (NNP WeatherStore))) (, ,)) (VP (VBZ hawk) (NP (JJ meteorological) (NNS gizmos))) (. .)))	Three online weather stories refuse to hawk meteorological gizmos.	( ( Three ( online ( weather stories ) ) ) ( ( refuse ( to ( hawk ( meteorological gizmos ) ) ) ) . ) )	(ROOT (S (NP (CD Three) (JJ online) (NN weather) (NNS stories)) (VP (VBP refuse) (S (VP (TO to) (VP (VB hawk) (NP (JJ meteorological) (NNS gizmos)))))) (. .)))	"['<s>', 'Three', '--', 'count', ""Ġ'"", 'em', '--', 'online', 'Ġweather', 'Ġstores', ',', 'Ġincluding', 'Ġthe', 'ĠWeather', 'Store', ',', 'Ġhawk', 'Ġmeteor', 'ological', 'Ġg', 'iz', 'mos', '.', '</s>']"	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]	['<s>', 'Three', 'Ġonline', 'Ġweather', 'Ġstories', 'Ġrefuse', 'Ġto', 'Ġhawk', 'Ġmeteor', 'ological', 'Ġg', 'iz', 'mos', '.', '</s>']	[0 0 0 0 0 1 0 1 0 0 1 0 0 0 0]
534	contradiction	travel	contradiction	97539c	97539	Bubble lifts whisk you up through a fiberglass and Teflon cloud, held by steel cables that stretch from one wall to the other, but the ride to the top is expensive and the view not much more striking than from the terrace.	( ( ( ( ( ( ( ( Bubble lifts ) ( ( whisk you ) ( up ( through ( ( ( a ( fiberglass ( and ( Teflon cloud ) ) ) ) , ) ( held ( by ( ( steel cables ) ( that ( ( stretch ( from ( one wall ) ) ) ( to ( the other ) ) ) ) ) ) ) ) ) ) ) ) , ) but ) ( ( ( the ride ) ( to ( the top ) ) ) ( is expensive ) ) ) and ) ( ( the view ) ( ( not ( much ( more striking ) ) ) ( than ( from ( the terrace ) ) ) ) ) ) . )	(ROOT (S (S (S (NP (JJ Bubble) (NNS lifts)) (VP (VBP whisk) (NP (PRP you)) (ADVP (RB up) (PP (IN through) (NP (NP (DT a) (NNS fiberglass) (CC and) (NN Teflon) (NN cloud)) (, ,) (VP (VBN held) (PP (IN by) (NP (NP (NN steel) (NNS cables)) (SBAR (WHNP (WDT that)) (S (VP (VBP stretch) (PP (IN from) (NP (CD one) (NN wall))) (PP (TO to) (NP (DT the) (JJ other)))))))))))))) (, ,) (CC but) (S (NP (NP (DT the) (NN ride)) (PP (TO to) (NP (DT the) (NN top)))) (VP (VBZ is) (ADJP (JJ expensive))))) (CC and) (S (NP (DT the) (NN view)) (ADJP (ADJP (RB not) (RB much) (RBR more) (JJ striking)) (PP (IN than) (PP (IN from) (NP (DT the) (NN terrace)))))) (. .)))	The ride to the top is worth it as the views are far better from the top.	( ( ( The ride ) ( to ( the top ) ) ) ( ( ( is ( worth it ) ) ( as ( ( the views ) ( are ( ( far better ) ( from ( the top ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN ride)) (PP (TO to) (NP (DT the) (NN top)))) (VP (VBZ is) (ADJP (JJ worth) (NP (PRP it))) (SBAR (IN as) (S (NP (DT the) (NNS views)) (VP (VBP are) (ADJP (ADJP (RB far) (JJR better)) (PP (IN from) (NP (DT the) (NN top)))))))) (. .)))	['<s>', 'B', 'ub', 'ble', 'Ġlifts', 'Ġwhisk', 'Ġyou', 'Ġup', 'Ġthrough', 'Ġa', 'Ġfiber', 'glass', 'Ġand', 'ĠT', 'ef', 'lon', 'Ġcloud', ',', 'Ġheld', 'Ġby', 'Ġsteel', 'Ġcables', 'Ġthat', 'Ġstretch', 'Ġfrom', 'Ġone', 'Ġwall', 'Ġto', 'Ġthe', 'Ġother', ',', 'Ġbut', 'Ġthe', 'Ġride', 'Ġto', 'Ġthe', 'Ġtop', 'Ġis', 'Ġexpensive', 'Ġand', 'Ġthe', 'Ġview', 'Ġnot', 'Ġmuch', 'Ġmore', 'Ġstriking', 'Ġthan', 'Ġfrom', 'Ġthe', 'Ġterr', 'ace', '.', '</s>']	"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]"	['<s>', 'The', 'Ġride', 'Ġto', 'Ġthe', 'Ġtop', 'Ġis', 'Ġworth', 'Ġit', 'Ġas', 'Ġthe', 'Ġviews', 'Ġare', 'Ġfar', 'Ġbetter', 'Ġfrom', 'Ġthe', 'Ġtop', '.', '</s>']	[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0]
535	contradiction	fiction	contradiction	60942c	60942	And then the gong rang and my life changed forever.	( And ( ( ( ( then ( ( the gong ) rang ) ) and ) ( ( my life ) ( changed forever ) ) ) . ) )	(ROOT (S (CC And) (S (ADVP (RB then)) (NP (DT the) (NN gong)) (VP (VBD rang))) (CC and) (S (NP (PRP$ my) (NN life)) (VP (VBD changed) (ADVP (RB forever)))) (. .)))	My life stayed the same forever.	( ( My life ) ( ( ( stayed ( the same ) ) forever ) . ) )	(ROOT (S (NP (PRP$ My) (NN life)) (VP (VBD stayed) (NP (DT the) (JJ same)) (ADVP (RB forever))) (. .)))	['<s>', 'And', 'Ġthen', 'Ġthe', 'Ġg', 'ong', 'Ġrang', 'Ġand', 'Ġmy', 'Ġlife', 'Ġchanged', 'Ġforever', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 1 0 0 0]	['<s>', 'My', 'Ġlife', 'Ġstayed', 'Ġthe', 'Ġsame', 'Ġforever', '.', '</s>']	[0 0 0 1 0 0 0 0 0]
536	contradiction	slate	contradiction	28895c	28895	His shows are more 700 Club than Crossfire . His guests almost always share Moyers' belief about the topic at hand.	( ( His shows ) ( ( ( are ( more 700 ) ) ( Club ( than ( ( Crossfire . ) ( ( His guests ) ( ( almost always ) ( share ( ( ( Moyers ' ) belief ) ( about ( ( the topic ) ( at hand ) ) ) ) ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (PRP$ His) (NNS shows)) (VP (VBP are) (ADVP (RBR more) (NP (CD 700))) (NP (NP (NNP Club)) (PP (IN than) (NP (NP (NNP Crossfire) (. .)) (SBAR (S (NP (PRP$ His) (NNS guests)) (ADVP (RB almost) (RB always)) (VP (VBP share) (NP (NP (NP (NNP Moyers) (POS ')) (NN belief)) (PP (IN about) (NP (NP (DT the) (NN topic)) (PP (IN at) (NP (NN hand))))))))))))) (. .)))	The shows are more Crossfire than 700 club.	( ( The shows ) ( ( are ( more ( Crossfire ( than ( 700 club ) ) ) ) ) . ) )	(ROOT (S (NP (DT The) (NNS shows)) (VP (VBP are) (ADJP (RBR more) (JJ Crossfire) (PP (IN than) (NP (CD 700) (NN club))))) (. .)))	"['<s>', 'His', 'Ġshows', 'Ġare', 'Ġmore', 'Ġ700', 'ĠClub', 'Ġthan', 'ĠCross', 'fire', 'Ġ.', 'ĠHis', 'Ġguests', 'Ġalmost', 'Ġalways', 'Ġshare', 'ĠMoy', 'ers', ""'"", 'Ġbelief', 'Ġabout', 'Ġthe', 'Ġtopic', 'Ġat', 'Ġhand', '.', '</s>']"	[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0]	['<s>', 'The', 'Ġshows', 'Ġare', 'Ġmore', 'ĠCross', 'fire', 'Ġthan', 'Ġ700', 'Ġclub', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0]
537	contradiction	telephone	contradiction	117807c	117807	and um we and i decided because my inner room looked so dingy because i put these beautiful French doors in	( and ( um ( ( ( we and ) i ) ( decided ( because ( ( my ( inner room ) ) ( ( looked ( so dingy ) ) ( because ( i ( ( put ( these ( beautiful ( French doors ) ) ) ) in ) ) ) ) ) ) ) ) ) )	(ROOT (FRAG (CC and) (NP (NP (NN um)) (SBAR (S (NP (NP (PRP we)) (CC and) (NP (FW i))) (VP (VBD decided) (SBAR (IN because) (S (NP (PRP$ my) (JJ inner) (NN room)) (VP (VBD looked) (ADJP (RB so) (JJ dingy)) (SBAR (IN because) (S (NP (FW i)) (VP (VBD put) (NP (DT these) (JJ beautiful) (JJ French) (NNS doors)) (PP (IN in))))))))))))))	It was very bright in my room, due to the French doors.	( It ( ( ( was ( very bright ) ) ( ( ( ( in ( my room ) ) , ) due ) ( to ( the ( French doors ) ) ) ) ) . ) )	(ROOT (S (NP (PRP It)) (VP (VBD was) (ADJP (RB very) (JJ bright)) (PP (PP (IN in) (NP (PRP$ my) (NN room))) (, ,) (RB due) (PP (TO to) (NP (DT the) (JJ French) (NNS doors))))) (. .)))	['<s>', 'and', 'Ġum', 'Ġwe', 'Ġand', 'Ġi', 'Ġdecided', 'Ġbecause', 'Ġmy', 'Ġinner', 'Ġroom', 'Ġlooked', 'Ġso', 'Ġding', 'y', 'Ġbecause', 'Ġi', 'Ġput', 'Ġthese', 'Ġbeautiful', 'ĠFrench', 'Ġdoors', 'Ġin', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	['<s>', 'It', 'Ġwas', 'Ġvery', 'Ġbright', 'Ġin', 'Ġmy', 'Ġroom', ',', 'Ġdue', 'Ġto', 'Ġthe', 'ĠFrench', 'Ġdoors', '.', '</s>']	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
538	contradiction	telephone	contradiction	7134c	7134	yeah yeah what was your degree in	( yeah ( yeah ( what ( ( was ( your degree ) ) in ) ) ) )	(ROOT (S (VP (VB yeah) (NP (NP (NN yeah)) (SBAR (WHNP (WP what)) (S (VP (VBD was) (NP (PRP$ your) (NN degree)) (PP (IN in)))))))))	Don't tell me what field you have your degree in.	( ( ( Do n't ) ( ( tell me ) ( ( what field ) ( you ( ( have ( your degree ) ) in ) ) ) ) ) . )	(ROOT (S (VP (VB Do) (RB n't) (VP (VB tell) (NP (PRP me)) (SBAR (WHNP (WP what) (NN field)) (S (NP (PRP you)) (VP (VBP have) (NP (PRP$ your) (NN degree)) (PP (IN in))))))) (. .)))	['<s>', 'yeah', 'Ġyeah', 'Ġwhat', 'Ġwas', 'Ġyour', 'Ġdegree', 'Ġin', '</s>']	[0 0 0 0 0 0 0 1 0]	"['<s>', 'Don', ""'t"", 'Ġtell', 'Ġme', 'Ġwhat', 'Ġfield', 'Ġyou', 'Ġhave', 'Ġyour', 'Ġdegree', 'Ġin', '.', '</s>']"	[0 0 0 0 0 0 1 0 1 0 0 1 0 0]
